CDSEXE,MTREV,NBENF,CDSITFAM,CDTMT,CDMOTDEM,CDCATCL,RANGAGEAD,RANGAGEDEM,ADH,RANGADH
2,0,1,M,2,DV,21,3.0,8.0,22,5.0
2,0,0,C,0,DV,21,1.0,6.0,23,5.0
3,0,0,A,0,DV,21,5.0,8.0,17,4.0
2,0,0,A,0,DV,21,5.0,9.0,22,5.0
2,0,1,M,0,DV,21,3.0,8.0,23,5.0
2,0,3,M,0,DV,21,2.0,6.0,23,5.0
3,0,0,A,0,DV,21,6.0,,20,5.0
2,0,0,A,0,DV,21,5.0,9.0,17,4.0
3,0,0,A,0,DV,21,7.0,,26,6.0
2,0,0,A,0,DV,21,2.0,8.0,29,6.0
2,0,0,A,0,DV,21,2.0,9.0,32,7.0
3,0,0,A,0,DV,21,2.0,8.0,29,6.0
2,0,0,M,0,DV,21,2.0,8.0,30,7.0
2,0,0,A,0,DV,21,6.0,,27,6.0
3,0,0,V,0,DV,21,3.0,9.0,27,6.0
3,0,0,V,0,DV,21,3.0,9.0,29,6.0
3,0,0,A,0,DV,21,6.0,,24,5.0
3,0,0,A,0,DV,21,2.0,7.0,27,6.0
2,0,0,A,0,DV,21,2.0,7.0,27,6.0
2,0,0,A,0,DV,21,1.0,6.0,23,5.0
3,0,0,A,0,DV,21,8.0,,22,5.0
3,0,0,A,0,DV,21,3.0,8.0,24,5.0
4,0,0,C,0,DV,21,1.0,6.0,25,6.0
3,2101,1,M,0,DV,21,2.0,7.0,28,6.0
3,0,0,D,0,DV,21,4.0,9.0,27,6.0
3,0,0,D,0,DA,40,2.0,7.0,22,5.0
3,0,0,A,0,DV,21,5.0,,27,6.0
2,0,0,A,0,DV,21,6.0,,27,6.0
3,0,0,D,0,DV,21,4.0,,26,6.0
2,2940,1,M,0,DV,21,2.0,8.0,26,6.0
3,0,0,A,0,DV,21,4.0,8.0,23,5.0
2,0,0,M,0,DV,21,4.0,9.0,26,6.0
3,0,0,A,0,DV,21,3.0,7.0,19,4.0
3,0,0,A,0,DV,21,3.0,7.0,18,4.0
2,0,0,A,0,DV,21,3.0,7.0,18,4.0
2,0,0,A,0,DV,21,4.0,8.0,21,5.0
2,0,0,A,0,DV,21,5.0,8.0,18,4.0
2,0,0,A,0,DV,21,3.0,6.0,17,4.0
4,0,0,C,0,RA,21,6.0,,18,4.0
2,0,0,A,0,DV,21,2.0,6.0,21,5.0
3,1863,0,A,0,DV,21,4.0,9.0,22,5.0
3,0,0,A,0,DV,21,7.0,,20,5.0
3,0,0,A,0,DV,10,2.0,6.0,22,5.0
3,1326,2,D,0,DV,21,2.0,6.0,22,5.0
2,0,0,A,0,DV,21,6.0,,21,5.0
2,0,0,A,0,DV,21,5.0,9.0,20,5.0
2,0,0,A,0,DV,21,2.0,5.0,18,4.0
3,0,0,A,0,DV,21,3.0,9.0,28,6.0
3,0,0,M,0,DV,21,7.0,,32,7.0
2,0,0,A,0,DV,21,3.0,9.0,28,6.0
3,0,0,A,0,DV,21,2.0,7.0,26,6.0
2,0,0,A,0,DV,21,2.0,9.0,32,7.0
2,0,2,A,0,DV,21,3.0,9.0,29,6.0
3,1006,2,M,0,DV,21,2.0,8.0,29,6.0
3,0,0,A,0,DA,21,1.0,7.0,28,6.0
3,0,0,A,0,DV,21,5.0,,25,6.0
3,0,0,A,0,DV,21,4.0,9.0,25,6.0
2,0,0,A,0,DV,21,4.0,9.0,25,6.0
2,0,0,A,0,DV,21,6.0,,22,5.0
2,0,0,A,0,DV,21,4.0,,27,6.0
4,0,0,C,0,DV,21,5.0,9.0,21,5.0
3,0,0,D,0,DV,21,3.0,7.0,20,5.0
2,0,0,A,0,DV,21,5.0,,24,5.0
2,0,0,M,0,DV,21,4.0,9.0,25,6.0
2,0,0,A,0,DV,21,4.0,9.0,24,5.0
3,0,0,A,0,DV,21,8.0,,25,6.0
3,0,0,A,0,RA,21,2.0,5.0,18,4.0
2,2832,2,M,0,DV,21,3.0,7.0,20,5.0
2,0,0,A,0,DV,21,3.0,7.0,19,4.0
3,0,0,A,0,DV,21,5.0,,22,5.0
3,0,0,A,0,DV,10,1.0,5.0,22,5.0
2,0,0,M,0,DV,21,6.0,,22,5.0
3,0,0,A,0,DV,21,3.0,8.0,27,6.0
3,0,0,A,0,DV,21,4.0,9.0,25,6.0
3,0,0,M,0,DA,21,3.0,8.0,22,5.0
3,0,0,M,0,DV,21,4.0,9.0,27,6.0
2,1115,0,M,0,DV,21,4.0,9.0,27,6.0
2,0,0,A,0,DV,10,3.0,9.0,26,6.0
2,0,0,A,0,RA,21,3.0,8.0,23,5.0
3,2828,0,V,0,DV,21,5.0,,25,6.0
3,0,0,A,0,DV,21,6.0,,24,5.0
2,0,0,A,0,DV,21,7.0,,24,5.0
2,0,0,A,0,RA,21,4.0,8.0,19,4.0
3,0,0,M,0,DV,21,5.0,,25,6.0
2,0,0,A,0,RA,21,1.0,5.0,16,4.0
2,2113,1,M,0,DV,21,1.0,5.0,18,4.0
3,0,0,A,0,DV,21,3.0,9.0,28,6.0
3,0,0,A,0,DV,21,2.0,7.0,27,6.0
3,0,0,A,0,DV,10,6.0,,33,7.0
2,0,0,A,0,DV,10,5.0,,33,7.0
2,0,0,A,0,DV,21,5.0,,29,6.0
3,0,0,D,0,DA,21,1.0,6.0,26,6.0
2,0,0,A,0,DV,21,2.0,8.0,29,6.0
2,0,0,A,0,DV,21,3.0,,33,7.0
3,0,0,A,0,DV,21,3.0,9.0,30,7.0
3,0,0,A,0,DV,21,1.0,7.0,29,6.0
2,0,0,A,0,DV,21,2.0,8.0,29,6.0
2,0,0,M,0,DV,21,4.0,,33,7.0
4,0,0,C,0,DV,21,4.0,9.0,28,6.0
3,0,0,A,0,DV,21,7.0,,26,6.0
3,0,0,A,0,DV,21,3.0,8.0,26,6.0
4,0,0,C,0,DV,21,8.0,,25,6.0
2,0,0,A,0,DV,21,3.0,8.0,27,6.0
4,0,0,C,0,DV,21,2.0,7.0,28,6.0
3,0,0,A,0,DV,21,2.0,8.0,28,6.0
2,0,0,M,0,DV,21,5.0,,29,6.0
2,0,0,A,0,DV,21,4.0,,31,7.0
2,0,0,M,0,DV,21,8.0,,30,7.0
2,0,0,A,0,DV,10,4.0,,30,7.0
2,0,0,A,0,DV,21,4.0,9.0,27,6.0
2,0,0,A,0,DV,21,5.0,,24,5.0
2,0,0,A,2,DV,21,5.0,,26,6.0
4,0,0,C,0,DV,21,5.0,9.0,23,5.0
3,0,0,A,0,DV,21,3.0,8.0,24,5.0
2,0,0,A,0,DV,21,4.0,8.0,24,5.0
3,0,0,A,0,DV,21,2.0,8.0,28,6.0
3,0,0,M,0,DV,21,2.0,8.0,29,6.0
3,0,0,M,2,DA,21,2.0,7.0,23,5.0
4,0,0,C,0,DV,21,8.0,,24,5.0
2,0,0,M,0,DV,21,6.0,,28,6.0
3,0,0,A,0,DV,21,6.0,,23,5.0
3,0,0,A,0,DV,21,5.0,,28,6.0
3,0,0,M,0,DV,21,6.0,,28,6.0
3,0,0,A,0,DV,21,6.0,,27,6.0
2,0,0,M,0,DV,21,4.0,9.0,27,6.0
2,0,0,M,0,DV,21,2.0,6.0,24,5.0
3,0,0,A,0,DV,21,6.0,,28,6.0
3,0,0,A,0,DV,21,3.0,9.0,27,6.0
2,0,0,M,0,DV,21,7.0,,27,6.0
3,0,0,A,0,DV,21,6.0,,27,6.0
3,0,0,A,0,DV,21,5.0,,23,5.0
3,0,0,A,0,DV,21,2.0,6.0,21,5.0
2,0,0,A,0,DV,21,2.0,7.0,21,5.0
3,0,0,A,0,DV,21,5.0,,21,5.0
2,0,0,A,0,DV,21,4.0,9.0,24,5.0
3,0,0,A,0,DV,21,2.0,7.0,25,6.0
2,0,0,A,0,DV,21,4.0,9.0,28,6.0
3,0,0,A,0,DV,21,4.0,9.0,25,6.0
4,0,0,C,0,DV,21,5.0,,23,5.0
3,0,0,D,0,DA,21,1.0,5.0,23,5.0
3,0,0,A,0,DV,21,1.0,6.0,26,6.0
3,0,0,A,0,DV,21,6.0,,22,5.0
2,0,0,D,2,DV,21,2.0,6.0,22,5.0
3,0,0,A,0,DV,21,3.0,8.0,24,5.0
3,0,0,A,2,DV,21,5.0,9.0,21,5.0
3,0,0,V,0,DV,21,8.0,,24,5.0
3,0,0,D,0,DV,21,6.0,,24,5.0
2,0,1,M,0,DV,21,4.0,9.0,24,5.0
3,0,0,A,0,DV,21,2.0,6.0,20,5.0
2,0,0,A,0,DV,21,2.0,6.0,20,5.0
3,0,0,A,0,DV,21,6.0,,26,6.0
2,0,0,M,0,DV,21,6.0,,26,6.0
3,0,0,A,0,DV,21,3.0,6.0,19,4.0
2,0,0,A,2,DV,21,3.0,7.0,19,4.0
3,0,0,A,0,DV,21,4.0,8.0,24,5.0
3,0,0,A,0,DV,21,3.0,7.0,22,5.0
4,0,0,C,0,DV,21,7.0,,25,6.0
2,0,0,A,0,DV,10,2.0,7.0,25,6.0
2,0,0,A,0,DV,21,4.0,9.0,24,5.0
2,0,0,A,0,DV,21,4.0,8.0,19,4.0
2,0,0,A,0,RA,21,4.0,8.0,23,5.0
3,1516,0,M,0,DV,21,4.0,,26,6.0
2,0,0,M,0,DA,21,8.0,,26,6.0
3,0,0,A,0,DV,21,4.0,8.0,20,5.0
3,0,0,A,0,DV,21,6.0,,22,5.0
3,0,0,C,0,DV,21,4.0,9.0,25,6.0
2,0,0,A,0,DV,21,5.0,,22,5.0
2,0,0,A,0,DV,21,1.0,5.0,19,4.0
3,0,0,A,0,DV,21,5.0,,23,5.0
3,0,0,A,0,DV,21,3.0,7.0,24,5.0
3,0,0,A,2,DV,21,3.0,7.0,20,5.0
3,0,0,A,0,DV,21,4.0,8.0,24,5.0
2,0,0,A,0,DV,21,6.0,,25,6.0
3,0,0,V,0,DV,21,8.0,,22,5.0
2,1224,0,M,0,DV,21,3.0,8.0,23,5.0
3,0,0,M,0,DV,21,5.0,,25,6.0
2,0,0,A,0,DV,10,4.0,9.0,24,5.0
2,0,0,M,0,DV,21,5.0,,25,6.0
3,0,0,A,0,DV,21,6.0,,25,6.0
2,0,0,A,0,DV,21,2.0,6.0,22,5.0
3,0,2,D,0,DV,21,2.0,7.0,25,6.0
3,0,0,M,0,DV,21,4.0,9.0,25,6.0
3,0,0,A,0,DV,21,4.0,8.0,18,4.0
3,0,0,A,0,DV,21,2.0,7.0,25,6.0
3,0,0,A,0,DV,21,7.0,,21,5.0
2,0,0,A,0,DV,21,1.0,4.0,18,4.0
3,0,0,A,0,DV,21,7.0,,20,5.0
3,0,0,A,0,DV,21,8.0,,20,5.0
2,0,0,D,0,DV,21,4.0,9.0,23,5.0
3,0,0,M,0,DA,21,3.0,7.0,20,5.0
3,0,0,A,0,DV,21,8.0,,20,5.0
4,0,0,C,0,RA,21,2.0,7.0,23,5.0
2,0,0,D,0,RA,21,8.0,,23,5.0
2,0,0,A,0,DV,21,2.0,6.0,17,4.0
2,0,0,A,0,DV,21,4.0,9.0,24,5.0
3,0,0,A,0,DV,21,7.0,,22,5.0
4,0,0,C,0,DV,21,1.0,5.0,22,5.0
3,0,0,M,0,DV,21,4.0,9.0,21,5.0
2,0,0,A,0,DV,21,1.0,5.0,17,4.0
2,0,0,A,0,DV,10,1.0,6.0,23,5.0
3,0,0,A,0,DV,21,3.0,7.0,20,5.0
2,0,0,A,0,RA,21,5.0,9.0,20,5.0
2,0,0,A,0,DV,21,8.0,,18,4.0
2,0,0,M,2,DV,21,7.0,,19,4.0
3,0,0,A,0,DV,21,7.0,,20,5.0
2,0,0,A,0,DV,21,7.0,,19,4.0
3,0,0,C,0,DV,21,1.0,5.0,20,5.0
2,0,0,A,0,DV,21,6.0,9.0,18,4.0
3,0,0,A,0,DV,21,5.0,9.0,21,5.0
2,0,0,A,0,DV,21,5.0,9.0,19,4.0
3,0,0,A,0,DV,21,4.0,9.0,21,5.0
2,0,0,A,0,DV,21,5.0,9.0,23,5.0
3,0,0,A,0,DV,21,3.0,7.0,18,4.0
3,0,0,D,0,DV,21,2.0,6.0,21,5.0
3,0,0,A,0,DV,21,6.0,,27,6.0
2,0,0,M,0,DV,21,4.0,,33,7.0
3,0,0,A,0,DV,21,1.0,7.0,27,6.0
2,0,0,A,0,DV,21,4.0,,26,6.0
3,1500,0,V,0,DV,21,5.0,,31,7.0
2,0,0,A,0,DV,10,2.0,8.0,30,7.0
2,0,0,A,0,DV,21,7.0,,28,6.0
2,0,0,A,0,DV,21,4.0,9.0,25,6.0
3,0,0,A,0,DV,21,4.0,,30,7.0
4,0,0,C,0,DV,21,3.0,8.0,25,6.0
3,0,0,A,0,DA,21,2.0,7.0,27,6.0
3,0,0,A,0,DV,21,5.0,,28,6.0
4,0,0,C,0,DV,21,4.0,9.0,25,6.0
3,1044,1,M,0,DA,21,4.0,9.0,26,6.0
3,0,0,A,0,DV,21,3.0,8.0,23,5.0
3,0,0,A,0,DV,21,2.0,6.0,22,5.0
2,4190,3,M,0,DV,21,1.0,6.0,25,6.0
3,1180,3,M,0,DV,21,1.0,6.0,25,6.0
2,0,0,M,0,DV,21,5.0,,24,5.0
2,0,0,M,0,DV,21,5.0,,23,5.0
3,0,0,D,0,DV,21,6.0,,23,5.0
2,0,0,M,0,DV,21,3.0,7.0,19,4.0
2,0,0,M,0,DV,21,3.0,6.0,16,4.0
3,0,0,A,0,DV,21,2.0,5.0,17,4.0
3,0,0,A,0,DA,21,2.0,8.0,30,7.0
3,3089,0,V,0,DV,21,1.0,7.0,27,6.0
2,0,0,M,0,DV,21,2.0,7.0,27,6.0
3,0,0,A,0,RA,21,2.0,7.0,26,6.0
