CDSEXE,MTREV,NBENF,CDSITFAM,CDTMT,CDMOTDEM,CDCATCL,RANGAGEAD,RANGAGEDEM,ADH,RANGADH
2,0,0,A,0,DV,21,3.0,8.0,27,6.0
3,0,0,A,0,DV,21,2.0,6.0,21,5.0
3,0,0,A,0,DV,21,3.0,8.0,25,6.0
4,0,0,C,0,RA,21,1.0,6.0,24,5.0
2,0,0,A,0,DV,21,3.0,7.0,19,4.0
2,0,0,A,0,DV,21,3.0,9.0,29,6.0
3,0,0,M,0,DV,21,5.0,,27,6.0
2,0,0,M,0,DV,21,6.0,,27,6.0
3,0,0,A,0,DV,21,5.0,,26,6.0
2,0,0,S,0,DV,21,2.0,8.0,30,7.0
2,0,0,A,0,DV,21,1.0,5.0,25,6.0
3,0,0,A,0,DV,21,5.0,,26,6.0
4,0,0,C,0,DV,21,8.0,,27,6.0
3,0,0,M,0,DV,21,5.0,,24,5.0
2,0,0,M,0,DV,21,7.0,,24,5.0
2,0,0,A,0,DV,21,8.0,,22,5.0
2,0,0,C,0,DV,21,3.0,7.0,20,5.0
3,0,0,M,0,DV,21,6.0,,21,5.0
2,0,0,M,0,DV,21,2.0,6.0,19,4.0
2,0,0,M,0,DV,21,8.0,,23,5.0
3,0,0,D,0,DV,21,4.0,8.0,19,4.0
2,0,0,M,0,DV,21,6.0,,23,5.0
2,0,0,M,0,DV,21,6.0,,28,6.0
3,0,0,A,0,DV,21,4.0,9.0,26,6.0
2,2032,0,M,0,DV,21,6.0,,29,6.0
3,1633,0,M,0,DV,21,5.0,,29,6.0
2,0,0,A,0,DV,21,6.0,,21,5.0
3,0,0,A,0,DV,21,3.0,9.0,26,6.0
2,0,0,A,0,DV,21,5.0,,26,6.0
3,0,0,A,0,DV,21,1.0,6.0,25,6.0
3,0,0,A,0,DV,21,4.0,9.0,28,6.0
4,0,0,C,0,DV,21,1.0,6.0,23,5.0
2,0,0,A,0,DV,21,4.0,9.0,25,6.0
3,0,0,A,0,DV,21,4.0,9.0,25,6.0
3,0,0,M,0,DV,21,5.0,,25,6.0
3,0,0,A,0,DV,21,7.0,,19,4.0
2,0,0,A,0,DV,21,8.0,,20,5.0
2,0,0,A,0,DV,21,8.0,,22,5.0
3,2134,0,A,0,DV,21,5.0,,25,6.0
2,2259,0,M,0,DV,21,5.0,,25,6.0
2,0,0,M,0,DV,21,3.0,8.0,26,6.0
3,0,0,M,0,DV,21,3.0,8.0,26,6.0
2,0,0,A,0,DV,21,6.0,,23,5.0
3,0,2,M,0,DV,21,1.0,5.0,23,5.0
3,0,0,D,0,DV,21,2.0,7.0,22,5.0
3,1848,1,U,0,DV,21,2.0,6.0,23,5.0
2,1973,1,M,0,DV,21,1.0,5.0,25,6.0
3,0,0,A,0,DV,21,1.0,5.0,19,4.0
2,0,0,M,0,DV,21,1.0,6.0,25,6.0
